algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.348464596,4.4843121480289625,20.931034088134766,5915,33,9621,Continuous,24,235,9621,18,trackA1,14827,301,5574,3933,5327,84,2,996.433491,MaxSatDddLadderSc,0.637588295,ok,0.986051691,29,94,54,9621
0.31977832099998693,4.396923076923077,19.0,3735,33,6859,Continuous,25,475,6859,17,trackA2,82106,239,4287,2995,27366,301,1,67719.691078,MaxSatDddLadderSc,67.360524956,ok,67.680300177,25,86,88,6859
0.18524770299999993,3.6666666666666665,22.375,2061,33,2077,Continuous,26,252,2077,14,trackA3,9526,107,2684,1808,3685,74,1,514.460434,MaxSatDddLadderSc,0.319869736,ok,0.505116639,16,58,118,2077
0.104263643,2.3768115942028984,19.214284896850586,1175,33,2069,Continuous,27,112,2069,10,trackA4,2385,42,1312,701,824,14,1,135.59123,MaxSatDddLadderSc,0.018515693,ok,0.122776236,14,19,77,2069
0.13691052699999995,2.7447257383966246,19.25,876,33,2773,Continuous,28,268,2773,12,trackA5,17832,53,1301,760,6996,162,1,3059.2448409999997,MaxSatDddLadderSc,2.909166619,ok,3.046073246,12,34,70,2773
0.055216091,2.392156862745098,18.625,307,33,1679,Continuous,29,98,1679,9,trackA6,1342,25,732,385,469,13,1,73.618586,MaxSatDddLadderSc,0.008633596,ok,0.063846287,8,20,65,1679
0.05147768899999999,2.4047619047619047,12.625,126,33,1393,Continuous,30,91,1393,6,trackA7,934,14,505,280,321,9,1,66.379487,MaxSatDddLadderSc,0.0061288,ok,0.057604289,8,8,74,1393
0.3827439450000014,5.600363306085377,19.88888931274414,4862,33,,Continuous,31,704,19632,28,trackA8,114632,603,6166,4552,41570,657,1,120391.405018,MaxSatDddLadderSc,119.970794475,timeout,120.35353672,27,46,0,34553
0.32911384199999816,4.656934306569343,20.049999237060547,2616,33,6305,Continuous,32,488,6305,19,trackA9,46984,219,3828,2749,17946,290,1,17233.250313,MaxSatDddLadderSc,16.883113373,ok,17.212225415,20,93,103,6305
0.08536390099999999,2.8566929133858268,18.176469802856445,1632,33,4812,Continuous,33,155,4812,14,trackA10,5053,86,1814,1070,1948,57,1,190.229706,MaxSatDddLadderSc,0.096217104,ok,0.181579305,17,43,53,4812
0.2858723040000086,5.687756778964667,20.482759475708008,6144,33,,Continuous,34,744,5865,61,trackA11,105172,811,6922,4891,39651,696,1,120827.022274,MaxSatDddLadderSc,120.49839401,timeout,120.784263614,29,47,0,22619
0.4461164840000009,5.877813504823151,21.714284896850586,6393,33,,Continuous,35,695,7798,66,trackA12,107561,794,7312,5233,39857,646,1,121227.90606200001,MaxSatDddLadderSc,120.752095385,timeout,121.198210669,28,48,0,36322
0.04518180199999999,3.0109034267912773,17.33333396911621,2022,25,1507,Continuous,36,134,1507,18,trackB1,4575,93,1933,1194,1661,42,1,97.75780400000001,MaxSatDddLadderSc,0.035962301,ok,0.081142703,18,40,50,1507
0.044465902,1.973856209150327,14.800000190734863,87,25,4404,Continuous,37,60,4404,7,trackB2,520,11,302,132,190,7,2,64.27190300000001,MaxSatDddLadderSc,0.0087837,ok,0.053246602,5,5,45,4404
0.046984502,2.9190751445086707,16.799999237060547,136,20,596,Continuous,38,72,596,9,trackB3,1033,22,505,300,357,6,1,63.79560200000001,MaxSatDddLadderSc,0.0070975,ok,0.054079402,5,15,51,596
0.28211861999999144,4.9787234042553195,15.949999809265137,2246,25,,Continuous,39,722,60500,30,trackB4,108389,222,3276,2345,38336,559,1,120081.61067499999,MaxSatDddLadderSc,119.777017654,timeout,120.059134374,20,108,54,60677
0.049965501999999995,4.295081967213115,17.799999237060547,136,25,1662,Continuous,40,100,1662,11,trackB5,2172,45,786,546,797,19,1,75.292804,MaxSatDddLadderSc,0.016327702,ok,0.066291404,5,34,45,1662
0.06422900399999999,1.7070063694267517,15.199999809265137,93,25,209,Continuous,41,52,209,4,trackB6,353,4,268,106,122,3,1,94.778905,MaxSatDddLadderSc,0.0041999,ok,0.068427004,5,1,46,209
0.20400641399999997,3.804232804232804,15.25,2865,25,56119,Continuous,42,251,56119,19,trackB7,13326,158,2876,1898,5314,110,1,1372.764272,MaxSatDddLadderSc,1.158112758,ok,1.362117472,24,73,68,56119
0.04674070200000001,3.20863309352518,13.399999618530273,72,25,1906,Continuous,43,142,1906,11,trackB8,1558,20,446,276,647,39,1,77.153304,MaxSatDddLadderSc,0.021062001,ok,0.067798803,5,16,87,1906
0.06908890499999999,5.020304568527918,13.571428298950195,150,25,8593,Continuous,44,170,8593,16,trackB9,2950,59,989,726,1104,46,3,162.000709,MaxSatDddLadderSc,0.084250803,ok,0.153336608,7,37,85,8593
0.041767902,1.5614973262032086,12.857142448425293,126,25,6912,Continuous,45,45,6912,4,trackB10,343,5,292,98,119,7,1,53.098803,MaxSatDddLadderSc,0.002223601,ok,0.043988503,7,2,36,6912
0.133835206,3.7069182389937105,15.399999618530273,3202,25,68844,Continuous,46,192,68844,20,trackB11,8294,178,2947,1927,3116,81,1,388.48222,MaxSatDddLadderSc,0.246029113,ok,0.379863519,25,71,38,68844
0.2471185079999998,3.4871794871794872,16.214284896850586,970,25,,Continuous,47,592,14794,22,trackB12,179720,134,1632,1019,60289,512,1,120556.878927,MaxSatDddLadderSc,120.27313802,timeout,120.520255428,14,60,19,15182
0.24670558599999026,4.340305711987128,20.931034088134766,5915,33,,Continuous,48,596,12085,16,stationA1,118836,335,5395,3708,41113,528,1,121747.87204999999,MaxSatDddLadderSc,121.444311764,timeout,121.69101405,29,65,2,16755
0.3558808840000012,4.343589743589743,19.0,3735,33,,Continuous,49,539,8188,21,stationA2,121744,289,4235,2908,40436,476,1,120856.493293,MaxSatDddLadderSc,120.479871196,timeout,120.83575028,25,59,3,11662
0.26420413499999995,4.5969945355191255,22.375,2061,33,,Continuous,50,615,3489,17,stationA3,92213,151,3365,2425,31778,483,1,120983.984042,MaxSatDddLadderSc,120.672636705,timeout,120.93683824,16,81,50,4053
