algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.088298598,2.4430379746835444,19.25,876,33,19,InfiniteSteps180,28,107,19,11,trackA5,2173,39,1158,626,748,19,1,120.78039799999999,MaxSatDddLadderSc,0.0216279,ok,0.109923498,12,26,60,19
0.039947800000000006,2.084967320261438,18.625,307,33,11,InfiniteSteps180,29,103,11,9,trackA6,1055,16,638,311,358,11,1,54.9084,MaxSatDddLadderSc,0.0065757,ok,0.0465211,8,10,80,11
0.0148312,2.1666666666666665,12.625,126,33,10,InfiniteSteps180,30,61,10,6,trackA7,789,13,455,228,273,10,1,21.1822,MaxSatDddLadderSc,0.0014185,ok,0.0162487,8,6,45,10
0.46900521399999917,17.852861035422343,19.88888931274414,4862,33,146,InfiniteSteps180,31,352,146,107,trackA8,59605,2656,19656,16563,19864,73,1,60358.261935999995,MaxSatDddLadderSc,59.880241822,ok,60.349245736,27,275,2,146
0.17786402099999998,4.675182481751825,20.049999237060547,2616,33,43,InfiniteSteps180,32,234,43,20,trackA9,9527,217,3843,2788,3233,43,1,314.45693400000005,MaxSatDddLadderSc,0.125298511,ok,0.303160932,20,97,92,43
0.11365301200000001,2.6125984251968504,18.176469802856445,1632,33,33,InfiniteSteps180,33,109,33,12,trackA10,3227,67,1659,928,1107,19,1,155.27981599999998,MaxSatDddLadderSc,0.032617204,ok,0.146267616,17,35,53,33
0.4754014330000018,17.12900575184881,20.482759475708008,6144,33,,InfiniteSteps180,34,263,91,176,trackA11,66513,3324,20846,17315,22253,91,1,133324.65051,MaxSatDddLadderSc,132.834880576,timeout,133.310280809,29,171,0,137
0.38437972699999534,14.892282958199356,21.714284896850586,6393,33,,InfiniteSteps180,35,227,95,148,trackA12,57982,2822,18526,14945,19550,95,1,121345.184685,MaxSatDddLadderSc,120.946632457,timeout,121.331010584,28,130,0,163
0.11317280299999999,3.0669781931464173,17.33333396911621,2022,25,14,InfiniteSteps180,36,102,14,16,trackB1,4144,92,1969,1213,1410,14,1,182.609005,MaxSatDddLadderSc,0.057882502,ok,0.171053405,18,45,41,14
0.067535702,2.2091503267973858,14.800000190734863,87,25,26,InfiniteSteps180,37,71,26,6,trackB2,643,11,338,169,234,9,1,86.495402,MaxSatDddLadderSc,0.0086561,ok,0.076189502,5,6,54,26
