algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.072930082,2.1940928270042193,19.25,876,33,12,FiniteSteps123,28,109,12,10,trackA5,1758,32,1040,522,594,12,1,94.720874,MaxSatDddLadderSc,0.011857295,ok,0.084785277,12,19,76,12
0.046558387,1.7189542483660132,18.625,307,33,8,FiniteSteps123,29,50,8,7,trackA6,690,13,526,201,234,8,1,58.093084000000005,MaxSatDddLadderSc,0.003012,ok,0.049567587,8,7,35,8
0.042696289,2.1,12.625,126,33,8,FiniteSteps123,30,69,8,5,trackA7,728,10,441,218,248,8,1,57.120485,MaxSatDddLadderSc,0.004613599,ok,0.047308188,8,4,55,8
0.281246831,7.96457765667575,19.88888931274414,4862,33,34,FiniteSteps123,31,193,34,40,trackA8,23784,923,8769,6911,7887,34,1,535.3708799999999,MaxSatDddLadderSc,0.244232952,ok,0.525478583,27,114,43,34
0.083135779,2.838199513381995,20.049999237060547,2616,33,25,FiniteSteps123,32,117,25,12,trackA9,4672,108,2333,1370,1575,25,1,108.134776,MaxSatDddLadderSc,0.020075598,ok,0.103209577,20,43,47,25
0.10858047500000001,2.4062992125984253,18.176469802856445,1632,33,17,FiniteSteps123,33,93,17,13,trackA10,2742,66,1528,801,925,17,1,133.157771,MaxSatDddLadderSc,0.014841497,ok,0.123419072,17,34,40,17
0.186151556,9.233360723089564,20.482759475708008,6144,33,33,FiniteSteps123,34,209,33,74,trackA11,31004,1168,11237,8897,10352,33,1,648.2275549999999,MaxSatDddLadderSc,0.4569928,ok,0.643143056,29,146,28,33
0.318756536,9.67282958199357,21.714284896850586,6393,33,36,FiniteSteps123,35,188,36,86,trackA12,33550,1351,12033,9601,11142,36,1,744.910934,MaxSatDddLadderSc,0.4166451,ok,0.735400336,28,124,26,36
0.08750289,2.4688473520249223,17.33333396911621,2022,25,13,FiniteSteps123,36,103,13,8,trackB1,2928,49,1585,872,998,13,1,112.118887,MaxSatDddLadderSc,0.015494698,ok,0.102995788,18,24,64,13
0.039093196,1.8104575163398693,14.800000190734863,87,25,5,FiniteSteps123,37,58,5,4,trackB2,404,9,277,110,141,5,2,53.313694000000005,MaxSatDddLadderSc,0.005641099,ok,0.044732595,5,3,47,5
0.031275397,2.647398843930636,16.799999237060547,136,20,4,FiniteSteps123,38,57,4,8,trackB3,864,21,458,252,294,4,1,41.169595,MaxSatDddLadderSc,0.003618299,ok,0.034891696,5,14,39,4
0.10062529,3.768996960486322,15.949999809265137,2246,25,19,FiniteSteps123,39,115,19,22,trackB4,5614,161,2480,1665,1873,19,1,149.306983,MaxSatDddLadderSc,0.039039094,ok,0.139662784,20,64,30,19
0.025444598,3.6721311475409837,17.799999237060547,136,25,7,FiniteSteps123,40,79,7,10,trackB5,1529,34,672,452,518,7,1,34.871795999999996,MaxSatDddLadderSc,0.003938799,ok,0.029381997,5,24,46,7
0.021579397,1.7070063694267517,15.199999809265137,93,25,2,FiniteSteps123,41,51,2,4,trackB6,347,4,268,106,118,2,1,29.295196,MaxSatDddLadderSc,0.0022692,ok,0.023847497,5,1,46,2
0.079239452,3.560846560846561,15.25,2865,25,27,FiniteSteps123,42,134,27,21,trackB7,5976,156,2692,1745,2014,27,1,147.073734,MaxSatDddLadderSc,0.063537995,ok,0.142775947,24,77,28,27
0.028738905,2.683453237410072,13.399999618530273,72,25,8,FiniteSteps123,43,87,8,7,trackB8,747,12,373,214,255,8,1,38.622678,MaxSatDddLadderSc,0.003723092,ok,0.032459997,5,9,68,8
0.055149218,3.350253807106599,13.571428298950195,150,25,9,FiniteSteps123,44,55,9,11,trackB9,1454,44,660,411,493,9,1,73.467167,MaxSatDddLadderSc,0.007135084,ok,0.062281902,7,26,18,9
0.039891073,1.320855614973262,12.857142448425293,126,25,8,FiniteSteps123,45,24,8,4,trackB10,207,5,247,53,71,8,1,54.879726,MaxSatDddLadderSc,0.001978894,ok,0.041867067,7,2,14,8
0.193142555,3.3610062893081762,15.399999618530273,3202,25,31,FiniteSteps123,46,139,31,16,trackB11,5840,163,2672,1685,1966,31,1,299.033832,MaxSatDddLadderSc,0.094068879,ok,0.287208734,25,67,39,31
0.07622099,2.655982905982906,16.214284896850586,970,25,16,FiniteSteps123,47,87,16,16,trackB12,2473,78,1243,674,852,16,1,101.192485,MaxSatDddLadderSc,0.015109597,ok,0.091328787,14,39,30,16
0.429286233,5.432019308125502,20.931034088134766,5915,33,37,FiniteSteps123,48,179,37,28,stationA1,16915,465,6752,4926,5703,37,1,980.763055,MaxSatDddLadderSc,0.542112523,ok,0.971397756,29,120,20,37
0.25334006,5.053333333333334,19.0,3735,33,40,FiniteSteps123,49,164,40,19,stationA2,12211,313,4927,3594,4106,40,1,433.627636,MaxSatDddLadderSc,0.169164177,ok,0.422503337,25,87,35,40
0.19918008899999998,3.5314207650273226,22.375,2061,33,19,FiniteSteps123,50,182,19,13,stationA3,5711,105,2585,1713,1934,19,2,352.522281,MaxSatDddLadderSc,0.140708892,ok,0.339886981,16,54,106,19
0.118200895,3.0489130434782608,19.214284896850586,1175,33,17,FiniteSteps123,51,145,17,13,stationA4,3507,58,1683,1063,1180,17,1,160.689491,MaxSatDddLadderSc,0.033083597,ok,0.151282692,14,36,90,17
0.112783494,2.892405063291139,19.25,876,33,16,FiniteSteps123,52,105,16,15,stationA5,2797,55,1371,832,943,16,1,140.73859199999998,MaxSatDddLadderSc,0.018823099,ok,0.131600693,12,34,53,16
0.042431497000000006,1.6176470588235294,18.625,307,33,10,FiniteSteps123,53,51,10,5,stationA6,607,8,495,177,206,10,1,53.268496999999996,MaxSatDddLadderSc,0.0023589,ok,0.044786397,8,4,35,10
0.054064589999999996,2.657142857142857,12.625,126,33,12,FiniteSteps123,54,107,12,7,stationA7,1109,12,558,333,376,12,1,70.383188,MaxSatDddLadderSc,0.007269599,ok,0.061329389,8,7,86,12
0.404080035,9.514078110808356,19.88888931274414,4862,33,43,FiniteSteps123,55,221,43,51,stationA8,28943,1072,10475,8362,9643,43,1,990.103023,MaxSatDddLadderSc,0.57263109,ok,0.976709725,27,168,8,43
0.162985671,3.5206812652068127,20.049999237060547,2616,33,27,FiniteSteps123,56,136,27,17,stationA9,6373,145,2894,1889,2138,27,1,228.56985899999998,MaxSatDddLadderSc,0.05506419,ok,0.218046261,20,67,40,27
0.103126879,2.7874015748031495,18.176469802856445,1632,33,21,FiniteSteps123,57,109,21,15,stationA10,3520,95,1770,1026,1177,21,1,131.926777,MaxSatDddLadderSc,0.019005699,ok,0.122129978,17,51,35,21
0.395381176,8.522596548890714,20.482759475708008,6144,33,41,FiniteSteps123,58,173,41,70,stationA11,28523,1100,10372,8090,9541,41,1,965.0962410000001,MaxSatDddLadderSc,0.556418766,ok,0.951798042,29,108,22,41
0.41316167000000004,11.635852090032154,21.714284896850586,6393,33,44,FiniteSteps123,59,246,44,99,stationA12,41455,1755,14475,11760,13756,44,1,1209.742927,MaxSatDddLadderSc,0.786846157,ok,1.200006427,28,179,21,44
0.09271359400000001,3.0046728971962615,17.33333396911621,2022,25,19,FiniteSteps123,60,99,19,8,stationB1,4035,84,1929,1172,1377,19,1,124.468492,MaxSatDddLadderSc,0.022624499,ok,0.115336293,18,36,42,19
0.043843107,1.8300653594771241,14.800000190734863,87,25,7,FiniteSteps123,61,58,7,4,stationB2,422,9,280,113,150,7,1,56.62611,MaxSatDddLadderSc,0.004074001,ok,0.047914508,5,4,45,7
0.021844504,3.069364161849711,16.799999237060547,136,20,5,FiniteSteps123,62,75,5,9,stationB3,1103,21,531,331,372,5,1,28.424705000000003,MaxSatDddLadderSc,0.0027995,ok,0.024642604,5,13,55,5
0.071746814,3.7613981762917934,15.949999809265137,2246,25,31,FiniteSteps123,63,145,31,15,stationB4,5661,136,2475,1660,1915,31,1,98.812018,MaxSatDddLadderSc,0.021818703,ok,0.093564517,20,56,56,31
0.043061906999999996,3.7540983606557377,17.799999237060547,136,25,6,FiniteSteps123,64,62,6,12,stationB5,1563,36,687,473,523,6,1,58.251211,MaxSatDddLadderSc,0.006538802,ok,0.049598509,5,28,28,6
0.037656808,1.9363057324840764,15.199999809265137,93,25,5,FiniteSteps123,65,46,5,4,stationB6,473,6,304,139,164,5,1,49.376509,MaxSatDddLadderSc,0.0020048,ok,0.039659508,5,3,36,5
0.181078831,4.382275132275132,15.25,2865,25,40,FiniteSteps123,66,188,40,14,stationB7,7970,193,3313,2357,2677,40,1,355.267065,MaxSatDddLadderSc,0.165832831,ok,0.346907062,24,65,81,40
0.038559347,2.460431654676259,13.399999618530273,72,25,10,FiniteSteps123,67,83,10,5,stationB8,661,8,342,192,228,10,1,50.732161999999995,MaxSatDddLadderSc,0.003518805,ok,0.042076152,5,4,67,10
0.029458036000000003,2.8883248730964466,13.571428298950195,150,25,11,FiniteSteps123,68,55,11,10,stationB9,1166,33,569,323,399,11,1,38.041047,MaxSatDddLadderSc,0.002949904,ok,0.03240684,7,21,21,11
0.027116234000000003,1.6898395721925135,12.857142448425293,126,25,11,FiniteSteps123,69,58,11,5,stationB10,440,7,316,119,151,11,1,33.919540999999995,MaxSatDddLadderSc,0.001678001,ok,0.028792735,7,4,41,11
0.142126276,3.832704402515723,15.399999618530273,3202,25,44,FiniteSteps123,70,134,44,14,stationB11,7062,190,3047,2037,2387,44,1,253.17181,MaxSatDddLadderSc,0.09954782,ok,0.241672496,25,56,32,44
0.067330881,3.4743589743589745,16.214284896850586,970,25,19,FiniteSteps123,71,89,19,18,stationB12,3683,123,1626,1011,1255,19,1,93.866215,MaxSatDddLadderSc,0.01565772,ok,0.082986401,14,48,20,19
